"image_path","severity","dark_circles","subject_id","eye","mst_shade","source_dataset","source_image_id","license_status","consent_status","makeup_suspected","annotation_confidence","annotator_id"
"data/smoke/crops/subj000_left.jpg","0","0","subj000","left","1","dermalens_smoke","subj000","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj000_right.jpg","0","0","subj000","right","7","dermalens_smoke","subj000","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj001_left.jpg","3","1","subj001","left","1","dermalens_smoke","subj001","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj001_right.jpg","3","1","subj001","right","5","dermalens_smoke","subj001","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj003_left.jpg","0","0","subj003","left","9","dermalens_smoke","subj003","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj003_right.jpg","0","0","subj003","right","9","dermalens_smoke","subj003","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj004_left.jpg","4","1","subj004","left","3","dermalens_smoke","subj004","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj004_right.jpg","4","1","subj004","right","1","dermalens_smoke","subj004","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj005_left.jpg","1","0","subj005","left","3","dermalens_smoke","subj005","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj005_right.jpg","1","0","subj005","right","2","dermalens_smoke","subj005","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj006_left.jpg","0","0","subj006","left","5","dermalens_smoke","subj006","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj006_right.jpg","0","0","subj006","right","9","dermalens_smoke","subj006","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj008_left.jpg","2","1","subj008","left","4","dermalens_smoke","subj008","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj008_right.jpg","2","0","subj008","right","10","dermalens_smoke","subj008","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj011_left.jpg","4","1","subj011","left","6","dermalens_smoke","subj011","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj011_right.jpg","4","0","subj011","right","8","dermalens_smoke","subj011","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj012_left.jpg","1","0","subj012","left","9","dermalens_smoke","subj012","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj012_right.jpg","1","0","subj012","right","6","dermalens_smoke","subj012","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj015_left.jpg","3","1","subj015","left","9","dermalens_smoke","subj015","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj015_right.jpg","3","1","subj015","right","1","dermalens_smoke","subj015","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj016_left.jpg","0","0","subj016","left","5","dermalens_smoke","subj016","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj016_right.jpg","0","1","subj016","right","6","dermalens_smoke","subj016","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj017_left.jpg","3","0","subj017","left","8","dermalens_smoke","subj017","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj017_right.jpg","3","1","subj017","right","2","dermalens_smoke","subj017","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj019_left.jpg","2","1","subj019","left","7","dermalens_smoke","subj019","prototype_only","not_for_production","0","medium","seed_smoke"
"data/smoke/crops/subj019_right.jpg","2","0","subj019","right","10","dermalens_smoke","subj019","prototype_only","not_for_production","0","medium","seed_smoke"
