image_path,severity,dark_circles,quality_reject,makeup_suspected,presence,eye,subject_id,source_dataset,source_image_id,license_status,consent_status,annotation_confidence,annotator_id
data/crops/ffhq/right/ffhq_54284_right.jpg,0,0,0,1,0,right,ffhq_54284,ffhq_pd_subset,ffhq_54284,ffhq_pd_prototype_only,none_public_photo,high,
data/crops/london/left/101_08_left.jpg,1,1,0,0,1,left,london_101,london_faces,101_08,cc_by_4_0,documented_research_consent,high,
data/crops/ffhq/left/ffhq_49271_left.jpg,1,1,0,0,1,left,ffhq_49271,ffhq_pd_subset,ffhq_49271,ffhq_pd_prototype_only,none_public_photo,high,
data/crops/ffhq/right/ffhq_48283_right.jpg,2,0,0,0,1,right,ffhq_48283,ffhq_pd_subset,ffhq_48283,ffhq_pd_prototype_only,none_public_photo,medium,
data/crops/ffhq/left/ffhq_26372_left.jpg,1,0,0,0,1,left,ffhq_26372,ffhq_pd_subset,ffhq_26372,ffhq_pd_prototype_only,none_public_photo,high,
data/crops/ffhq/left/ffhq_23631_left.jpg,2,1,0,0,1,left,ffhq_23631,ffhq_pd_subset,ffhq_23631,ffhq_pd_prototype_only,none_public_photo,medium,
data/crops/london/right/117_08_right.jpg,1,0,0,0,1,right,london_117,london_faces,117_08,cc_by_4_0,documented_research_consent,medium,
data/crops/ffhq/left/ffhq_27059_left.jpg,1,1,0,0,1,left,ffhq_27059,ffhq_pd_subset,ffhq_27059,ffhq_pd_prototype_only,none_public_photo,high,
data/crops/london/left/113_03_left.jpg,0,0,0,1,0,left,london_113,london_faces,113_03,cc_by_4_0,documented_research_consent,medium,
data/crops/london/left/033_03_left.jpg,1,0,0,0,1,left,london_033,london_faces,033_03,cc_by_4_0,documented_research_consent,high,
data/crops/london/left/001_08_left.jpg,2,0,0,0,1,left,london_001,london_faces,001_08,cc_by_4_0,documented_research_consent,medium,
data/crops/london/right/100_03_right.jpg,0,0,0,1,0,right,london_100,london_faces,100_03,cc_by_4_0,documented_research_consent,low,
data/crops/ffhq/right/ffhq_62212_right.jpg,1,0,0,0,1,right,ffhq_62212,ffhq_pd_subset,ffhq_62212,ffhq_pd_prototype_only,none_public_photo,medium,
data/crops/london/right/092_08_right.jpg,2,1,0,0,1,right,london_092,london_faces,092_08,cc_by_4_0,documented_research_consent,high,
data/crops/ffhq/left/ffhq_66755_left.jpg,1,0,0,0,1,left,ffhq_66755,ffhq_pd_subset,ffhq_66755,ffhq_pd_prototype_only,none_public_photo,medium,
data/crops/ffhq/left/ffhq_43919_left.jpg,2,0,0,1,1,left,ffhq_43919,ffhq_pd_subset,ffhq_43919,ffhq_pd_prototype_only,none_public_photo,high,
data/crops/london/left/102_08_left.jpg,1,1,0,1,1,left,london_102,london_faces,102_08,cc_by_4_0,documented_research_consent,high,
data/crops/ffhq/right/ffhq_47460_right.jpg,2,1,0,0,1,right,ffhq_47460,ffhq_pd_subset,ffhq_47460,ffhq_pd_prototype_only,none_public_photo,medium,
data/crops/ffhq/right/ffhq_36547_right.jpg,2,1,0,0,1,right,ffhq_36547,ffhq_pd_subset,ffhq_36547,ffhq_pd_prototype_only,none_public_photo,medium,
data/crops/london/right/120_08_right.jpg,2,0,0,0,1,right,london_120,london_faces,120_08,cc_by_4_0,documented_research_consent,medium,
data/crops/london/left/125_08_left.jpg,0,1,0,0,0,left,london_125,london_faces,125_08,cc_by_4_0,documented_research_consent,high,
